,A,B,C,D,E,F,G,H,I,J
251,RF-1734,Wander Agency,MAA-CMB,15500,0,07-03-2026,10-03-2026,Refund Done,,payout complete
252,RF-1369,Yatri Junction,DEL-KTM,,1500,27-06-2026,,Pending Payout,,awaiting approval
253,RF-1404,Voyage Desk,DEL-DXB,18600,0,12-04-2026,16-04-2026,Refund Done,,settled
254,RF-1786,Peak Journeys,HYD-DEL,7300,,18-02-2026,21-02-2026,Refund Done,,transferred
255,RF-1672,TripHub,DEL-SIN,26400,,17-05-2026,02-06-2026,Refund Done,N. Iyer,transferred
256,RF-1149,BlueJet Tours,BOM-BKK,23900,0,04-04-2026,08-04-2026,Refund Done,N. Iyer,NEFT done
257,RF-1276,Skyline Travels,CCU-BOM,11600,0,19-02-2026,20-02-2026,Refund Done,,transferred
258,RF-1177,Pinnacle Getaways,DEL-KUL,13300,0,26-03-2026,28-03-2026,Refund Done,,duplicate check pending
259,RF-1487,Yatri Junction,COK-DXB,28000,,01-05-2026,04-05-2026,Refund Done,N. Iyer,transferred
260,RF-1642,BlueJet Tours,BOM-DXB,16200,0,12-02-2026,13-02-2026,Refund Done,,transferred
261,RF-1377,Voyage Desk,DEL-KUL,0,0,01-06-2026,02-06-2026,Declined,,declined
262,RF-1406,Sunrise Trips,DEL-BOM,7600,0,28-04-2026,02-05-2026,Refund Done,,paid to wallet
263,RF-1530,GoFly Holidays,PNQ-DEL,8700,,12-06-2026,17-06-2026,Refund Done,,payout complete
264,RF-1836,Peak Journeys,COK-DXB,24100,0,16-03-2026,22-03-2026,Refund Done,N. Iyer,NEFT done
265,RF-1238,DeccanFly,BOM-BKK,21400,,15-03-2026,20-03-2026,Refund Done,S. Bhatt,NEFT done
266,RF-1708,TripHub,AMD-BOM,,0,25-06-2026,,Pending Payout,,in queue
267,RF-1408,Wander Agency,DEL-SIN,28300,,19/04/26,22-04-2026,Refund Done,N. Iyer,NEFT done
268,RF-1643,SafarNama Travel,DEL-DXB,9500,0,12-04-2026,15-04-2026,Refund Done,,transferred
269,RF-1068,Nomad Travel,DEL-SIN,17900,1600,18-05-2026,23-05-2026,Refund Done,,settled
270,RF-1110,Lotus Travel Co,DEL-SIN,18300,1600,14-05-2026,18-05-2026,Refund Done,,settled
271,RF-1846,BlueJet Tours,DEL-BOM,13200,0,18-02-2026,22-02-2026,Refund Done,,payout complete
272,RF-1167,Kaveri Tours,CCU-BOM,10200,0,17-05-2026,19-05-2026,Refund Done,,paid to wallet
273,RF-1537,Sunrise Trips,HYD-BKK,,0,06-06-2026,,Pending Payout,,hold - amount mismatch
274,RF-1402,BlueJet Tours,COK-DXB,23200,0,26-05-2026,16-06-2026,Refund Done,S. Bhatt,payout complete
275,RF-1852,Metro Yatra,CCU-BOM,13000,0,27-03-2026,28-03-2026,Refund Done,,NEFT done
276,RF-1571,Orbit Travels,BLR-MAA,8000,,22-04-2026,24-04-2026,Refund Done,,paid to wallet
277,RF-1370,GoFly Holidays,DEL-BOM,5700,0,02-04-2026,06-04-2026,Refund Done,,transferred
278,RF-1001,Skyline Travels,BOM-BKK,,2300,09-06-2026,,Pending Payout,,hold - amount mismatch
279,RF-1441,Voyage Desk,HYD-BKK,,1500,29-06-2026,,Pending Payout,,hold - amount mismatch
280,RF-1788,GoFly Holidays,DEL-BOM,6800,0,10-06-2026,13-06-2026,Refund Done,,paid to wallet
281,RF-1065,BlueJet Tours,COK-DXB,12800,1500,14-05-2026,20-05-2026,Refund Done,,NEFT done
282,RF-1639,Global Wings,DEL-SIN,15200,0,02-04-2026,06-04-2026,Refund Done,,settled
283,RF-1066,SafarNama Travel,HYD-BKK,25700,0,28-02-2026,05-03-2026,Refund Done,S. Bhatt,transferred
284,RF-1072,Kaveri Tours,COK-DXB,13200,0,02-03-2026,05-03-2026,Refund Done,,transferred
285,RF-1844,TripHub,CCU-BOM,10500,0,20-06-2026,25-06-2026,Refund Done,,transferred
286,RF-1425,Yatri Junction,BLR-DXB,32000,0,25-02-2026,28-02-2026,Refund Done,N. Iyer,paid to wallet
287,RF-1129,Global Wings,DEL-KTM,,1500,30-06-2026,,Pending Payout,,supplier not confirmed
288,RF-1132,TripHub,DEL-BOM,10200,0,07-02-2026,10-02-2026,Refund Done,,settled
289,RF-1542,TripHub,DEL-CCU,,0,29-06-2026,,Pending Payout,,supplier not confirmed
290,RF-1859,Himalaya Holidays,BLR-DXB,28600,,09-04-2026,14-04-2026,Refund Done,N. Iyer,transferred
291,RF-1006,DeccanFly,GOI-BOM,4500,0,11-02-2026,14-02-2026,Refund Done,,paid to wallet
292,RF-1191,Peak Journeys,HYD-BKK,28200,0,16-04-2026,19-04-2026,Refund Done,N. Iyer,payout complete
293,RF-1114,Peak Journeys,DEL-KTM,17200,0,27-05-2026,30-05-2026,Refund Done,,transferred
294,RF-1356,Skyline Travels,BOM-BKK,25200,,20-03-2026,24-03-2026,Refund Done,N. Iyer,NEFT done
295,RF-1553,GoFly Holidays,BLR-MAA,6200,0,24-04-2026,25-04-2026,Refund Done,,NEFT done
296,RF-1292,Voyage Desk,DEL-KUL,,1800,29-06-2026,,Pending Payout,,supplier not confirmed
297,RF-1108,Himalaya Holidays,DEL-KUL,30100,,24-02-2026,01-03-2026,Refund Done,N. Iyer,paid to wallet
298,RF-1322,BlueJet Tours,PNQ-DEL,11800,0,05-04-2026,09-04-2026,Refund Done,,NEFT done
299,RF-1574,GoFly Holidays,DEL-CCU,12100,0,07-06-2026,09-06-2026,Refund Done,,payout complete
300,RF-1491,Nomad Travel,GOI-BOM,5200,0,20-04-2026,21-04-2026,Refund Done,,payout complete
301,RF-1005,Voyage Desk,DEL-DXB,28700,0,14-03-2026,17-03-2026,Refund Done,S. Bhatt,paid to wallet
302,RF-1847,BlueJet Tours,BOM-DXB,24500,,12-04-2026,15/04/26,Refund Done,N. Iyer,NEFT done
303,RF-1565,Peak Journeys,MAA-CMB,12900,0,03-03-2026,04-03-2026,Refund Done,,transferred
304,RF-1347 (revised),Kaveri Tours,AMD-BOM,9400,0,21-03-2026,23-03-2026,Refund Done,,paid to wallet
305,RF-1787,peak journeys,BLR-DXB,14000,0,23-03-2026,25-03-2026,Refund Done,,NEFT done
306,RF-1819,Peak Journeys,MAA-CMB,,1500,30-06-2026,,Pending Payout,,hold - amount mismatch
307,RF-1062,DeccanFly,DEL-BOM,0,,17-05-2026,19-05-2026,Declined,,not approved
308,RF-1240,Peak Journeys,DEL-BOM,7700,,05-02-2026,08-02-2026,Refund Done,,NEFT done
309,RF-1514,Lotus Travel Co,DEL-DXB,31000,0,17-03-2026,23-03-2026,Refund Done,R. Menon,NEFT done
310,RF-1619,GoFly Holidays,HYD-BKK,0,0,10-03-2026,12-03-2026,Declined,,not approved
311,RF-1774,Pinnacle Getaways,BLR-MAA,10100,0,06-06-2026,13-06-2026,Refund Done,,NEFT done
312,RF-1476,BlueJet Tours,PNQ-DEL,10800,0,26-05-2026,27-05-2026,Refund Done,,NEFT done
313,RF-1130,GoFly Holidays,BLR-DXB,26100,0,07-05-2026,16-05-2026,Refund Done,N. Iyer,settled
314,RF-1252,TripHub,DEL-KUL,19400,1700,21-05-2026,04-06-2026,Refund Done,N. Iyer,paid to wallet
315,RF-1135,Orbit Travels,CCU-BOM,12500,,04-03-2026,06-03-2026,Refund Done,,paid to wallet
316,RF-1295,Metro Yatra,BOM-DXB,28800,0,17-02-2026,19-02-2026,Refund Done,R. Menon,paid to wallet
317,RF-1725,GoFly Holidays,MAA-CMB,16700,0,03-04-2026,05-04-2026,Refund Done,,paid to wallet
318,RF-1761,Global Wings,DEL-SIN,24800,0,17-02-2026,21/02/26,Refund Done,S. Bhatt,NEFT done
319,RF-1442,DeccanFly,MAA-CMB,14600,0,03-05-2026,08-05-2026,Refund Done,,settled
320,RF-1637,Metro Yatra,HYD-BKK,33400,,11-02-2026,16-02-2026,Refund Done,N. Iyer,settled
321,RF-1449,Voyage Desk,BOM-DXB,14400,,06-03-2026,09-03-2026,Refund Done,,payout complete
322,RF-1745,BlueJet Tours,BOM-DXB,,2300,13-06-2026,,Pending Payout,,in queue
323,RF-1200,Peak Journeys,CCU-BOM,12900,0,01-06-2026,03-06-2026,Refund Done,,NEFT done
324,RF-1567,Coral Voyages,DEL-BOM,4800,0,07-05-2026,09-05-2026,Refund Done,,payout complete
325,RF-1483,BlueJet Tours,DEL-DXB,29100,0,23-03-2026,27-03-2026,Refund Done,N. Iyer,transferred
326,RF-1304,Nomad Travel,DEL-KTM,9700,0,06-03-2026,08-03-2026,Refund Done,,settled
327,RF-1379,BlueJet Tours,DEL-BOM,12000,,05-03-2026,06-03-2026,Refund Done,,settled
328,RF-1396,Kaveri Tours,DEL-DXB,21200,0,08-04-2026,11-04-2026,Refund Done,S. Bhatt,payout complete
329,RF-1657,Voyage Desk,DEL-KTM,11600,,28-04-2026,29-04-2026,Refund Done,,paid to wallet
330,RF-1036,KAVERI TOURS,DEL-DXB,11300,,28-04-2026,01-05-2026,Refund Done,,settled
331,RF-1327,Sunrise Trips,BOM-DXB,12500,0,01-03-2026,02-03-2026,Refund Done,,settled
332,RF-1077,GoFly Holidays,DEL-DXB,26400,0,15-03-2026,20-03-2026,Refund Done,N. Iyer,NEFT done
333,RF-1092,Wander Agency,HYD-DEL,7500,0,29-05-2026,04-06-2026,Refund Done,,paid to wallet
334,RF-1268,ziptrip,DEL-CCU,11800,0,22-03-2026,24-03-2026,Refund Done,,transferred
335,RF-1133,Himalaya Holidays,DEL-CCU,9300,0,09-06-2026,12-06-2026,Refund Done,,NEFT done
336,RF-1486,Peak Journeys,DEL-DXB,31200,0,21-04-2026,23/04/26,Refund Done,N. Iyer,settled
337,RF-1047,Peak Journeys,BOM-BKK,26300,0,13-02-2026,16-02-2026,Refund Done,N. Iyer,NEFT done
338,RF-1472,Sunrise Trips,BLR-DXB,28300,0,26-03-2026,31-03-2026,Refund Done,S. Bhatt,transferred
339,RF-1446,Orbit Travels,BLR-DXB,11400,1500,14-06-2026,16-06-2026,Refund Done,,NEFT done
340,RF-1454,Pinnacle Getaways,DEL-KUL,24300,0,28-02-2026,05-03-2026,Refund Done,S. Bhatt,settled
341,RF-1424,Nomad Travel,DEL-DXB,14700,0,22-03-2026,24/03/26,Refund Done,,payout complete
342,RF-1399,Wander Agency,CCU-BOM,6100,0,01-03-2026,03-03-2026,Refund Done,,transferred
343,RF-1248,Peak Journeys,MAA-CMB,13600,,27-04-2026,01-05-2026,Refund Done,,NEFT done
344,RF-1293,Nomad Travel,PNQ-DEL,8000,0,20-02-2026,21-02-2026,Refund Done,,transferred
345,RF-1025,SafarNama Travel,DEL-BOM,11600,,22-03-2026,26-03-2026,Refund Done,,settled
346,RF-1829,Metro Yatra,DEL-KTM,10900,0,19-04-2026,20-04-2026,Refund Done,,transferred
347,RF-1700,GoFly Holidays,BOM-DXB,,2300,30-06-2026,,Pending Payout,,supplier not confirmed
348,RF-1660,GoFly Holidays,CCU-BOM,13700,0,23-02-2026,26-02-2026,Refund Done,,NEFT done
349,RF-1106,BlueJet Tours,DEL-KTM,17500,1500,25-06-2026,28-06-2026,Refund Done,,transferred
350,RF-1302,PINNACLE GETAWAYS,DEL-DXB,11300,0,18-05-2026,22-05-2026,Refund Done,,paid to wallet
351,RF-1052,triphub,COK-DXB,23200,0,28-03-2026,31-03-2026,Refund Done,N. Iyer,payout complete
352,RF-1053,Voyage Desk,AMD-BOM,8100,0,15-06-2026,22/06/26,Refund Done,,payout complete
353,RF-1238,DeccanFly,BOM-BKK,21400,,15-03-2026,20-03-2026,Refund Done,S. Bhatt,duplicate check pending
354,RF-1464,Voyage Desk,BLR-DXB,0,0,04-02-2026,06-02-2026,Declined,,not approved
355,RF-1729,TripHub,HYD-DEL,11100,0,22-04-2026,24/04/26,Refund Done,,settled
356,RF-1576,GoFly Holidays,DEL-BOM,10100,0,12-06-2026,16/06/26,Refund Done,,transferred
357,RF-1142,Himalaya Holidays,BLR-DXB,18000,0,14-06-2026,19-06-2026,Refund Done,,paid to wallet
358,RF-1739,TripHub,COK-DXB,0,0,11-06-2026,16-06-2026,Declined,,non-refundable fare
359,RF-1086,GoFly Holidays,DEL-DXB,28200,0,15-03-2026,18-03-2026,Refund Done,N. Iyer,transferred
360,RF-1422,Wander Agency,BOM-DXB,8700,1500,22-05-2026,26-05-2026,Refund Done,,paid to wallet
361,RF-1688,Voyage Desk,HYD-DEL,8300,,30-03-2026,03-04-2026,Refund Done,,transferred
362,RF-1485,Coral Voyages,GOI-BOM,5500,0,22-02-2026,23-02-2026,Refund Done,,NEFT done
363,RF-1352,Wander Agency,PNQ-DEL,12100,0,06-03-2026,10-03-2026,Refund Done,,NEFT done
364,RF-1671,Peak Journeys,BLR-DXB,0,,28-02-2026,05-03-2026,Declined,,declined
365,RF-1329,SafarNama Travel,BOM-DXB,10600,,25-04-2026,26-04-2026,Refund Done,,paid to wallet
366,RF-1428,Kaveri Tours,BLR-DXB,17800,0,06-02-2026,10-02-2026,Refund Done,,settled
367,RF-1259,BlueJet Tours,COK-DXB,,2100,12/06/26,,Pending Payout,,in queue
368,RF-1282,Wander Agency,HYD-BKK,12400,0,06/05/26,12-05-2026,Refund Done,,settled
369,RF-1670,SafarNama Travel,COK-DXB,22000,0,20-02-2026,25-02-2026,Refund Done,N. Iyer,paid to wallet
370,RF-1495,TripHub,BOM-BKK,28900,0,23-03-2026,25-03-2026,Refund Done,N. Iyer,payout complete
371,RF-1532,Orbit Travels,DEL-DXB,0,0,07-05-2026,12-05-2026,Declined,,rejected
372,RF-1174,Peak Journeys,BLR-MAA,5100,,01-04-2026,03-04-2026,Refund Done,,transferred
373,RF-1563,Orbit Travels,BLR-MAA,7500,0,12-06-2026,21-06-2026,Refund Done,,settled
374,RF-1277,TripHub,DEL-KTM,11600,,21-06-2026,26-06-2026,Refund Done,,settled
375,RF-1083,Wander Agency,BOM-BKK,33600,,23-02-2026,26-02-2026,Refund Done,S. Bhatt,settled
376,RF-1386,TripHub,HYD-DEL,8000,0,27-04-2026,29-04-2026,Refund Done,,paid to wallet
377,RF-1755,GoFly Holidays,DEL-DXB,10700,0,16-05-2026,20/05/26,Refund Done,,transferred
378,RF-1054,Kaveri Tours,DEL-DXB,0,0,22-06-2026,25-06-2026,Declined,,outside cancellation window
379,RF-1624,Wander Agency,HYD-BKK,12000,1500,31-05-2026,03-06-2026,Refund Done,,NEFT done
380,RF-1773 (revised),DeccanFly,BLR-DXB,0,0,02-05-2026,05-05-2026,Declined,,not approved
381,RF-1235,TripHub,HYD-DEL,,,25-06-2026,,Pending Payout,,awaiting approval
382,RF-1823,SafarNama Travel,BLR-MAA,0,,16-03-2026,22-03-2026,Declined,,outside cancellation window
383,RF-1795,Kaveri Tours,DEL-DXB,12800,0,23-06-2026,30-06-2026,Refund Done,,NEFT done
384,RF-1835,Global Wings,DEL-SIN,34900,3000,11-05-2026,05-06-2026,Refund Done,S. Bhatt,transferred
385,RF-1137,BlueJet Tours,MAA-CMB,10900,0,13-02-2026,15-02-2026,Refund Done,,settled
386,RF-1291,Peak Journeys,MAA-CMB,15500,,29-03-2026,02-04-2026,Refund Done,,payout complete
387,RF-1037,BlueJet Tours,DEL-SIN,38500,0,29-03-2026,02-04-2026,Refund Done,N. Iyer,transferred
388,RF-1211,Metro Yatra,HYD-BKK,23200,2000,14-05-2026,31/05/26,Refund Done,N. Iyer,NEFT done
389,RF-1375,DeccanFly,PNQ-DEL,0,0,10/06/26,16-06-2026,Declined,,rejected
390,RF-1493,Nomad Travel,DEL-DXB,15800,1500,21-05-2026,22/05/26,Refund Done,,NEFT done
391,RF-1305,TripHub,BOM-BKK,26600,2300,20-05-2026,09-06-2026,Refund Done,S. Bhatt,NEFT done
392,RF-1644,Wander Agency,BOM-DXB,16600,0,13-05-2026,15/05/26,Refund Done,,transferred
393,RF-1034,Himalaya Holidays,DEL-CCU,7400,0,19-02-2026,20-02-2026,Refund Done,,settled
394,RF-1684,Peak Journeys,BOM-BKK,13500,,08-02-2026,11-02-2026,Refund Done,,transferred
395,RF-1087,Nomad Travel,BOM-DXB,27500,,14-04-2026,17/04/26,Refund Done,N. Iyer,settled
396,RF-1324,Nomad Travel,DEL-BOM,12400,0,18-04-2026,19-04-2026,Refund Done,,NEFT done
397,RF-1017,SafarNama Travel,AMD-BOM,8000,,13-03-2026,16-03-2026,Refund Done,,NEFT done
398,RF-1681,BlueJet Tours,BLR-MAA,9800,0,28-02-2026,03-03-2026,Refund Done,,paid to wallet
399,RF-1701,bluejet tours,HYD-BKK,17400,1500,17-06-2026,21-06-2026,Refund Done,,transferred
400,RF-1314,Nomad Travel,DEL-DXB,0,,03-05-2026,06-05-2026,Declined,,rejected
401,RF-1187,TripHub,DEL-BOM,,,28-06-2026,,Pending Payout,,hold - amount mismatch
402,RF-1550,SafarNama Travel,BLR-MAA,,,30-06-2026,,Pending Payout,,pending manager sign-off
403,RF1299,Metro Yatra,BOM-DXB,14600,1500,14-06-2026,21-06-2026,Refund Done,,payout complete
404,RF-1026,BlueJet Tours,DEL-CCU,6800,0,12-02-2026,14-02-2026,Refund Done,,NEFT done
405,RF-1759,Voyage Desk,DEL-CCU,12000,0,26-02-2026,28-02-2026,Refund Done,,settled
406,RF-1009,Voyage Desk,CCU-BOM,5300,0,09-03-2026,11-03-2026,Refund Done,,transferred
407,RF-1154,Nomad Travel,CCU-BOM,7500,,30-04-2026,01-05-2026,Refund Done,,payout complete
408,RF-1748,Himalaya Holidays,BLR-MAA,3500,,19-06-2026,24-06-2026,Refund Done,,transferred
409,RF1003,Orbit Travels,BLR-DXB,17800,,12-02-2026,14-02-2026,Refund Done,,settled
410,RF-1438,Anand Travels,BLR-MAA,9300,0,26-03-2026,29-03-2026,Refund Done,,paid to wallet
411,RF-1664,Voyage Desk,DEL-BOM,6700,0,04-05-2026,08-05-2026,Refund Done,,settled
412,RF-1039,Peak Journeys,DEL-DXB,12900,0,01-05-2026,03-05-2026,Refund Done,,payout complete
413,RF-1510,DeccanFly,DEL-DXB,13500,0,16-03-2026,19-03-2026,Refund Done,,NEFT done
414,RF-1395,Wander Agency,COK-DXB,24100,,26-04-2026,30-04-2026,Refund Done,S. Bhatt,settled
415,RF-1091,SafarNama Travel,GOI-BOM,4500,0,07-02-2026,08-02-2026,Refund Done,,NEFT done
416,RF-1196,BlueJet Tours,DEL-DXB,30900,0,12-04-2026,15/04/26,Refund Done,S. Bhatt,settled
417,RF-1148,Skyline Travels,COK-DXB,16500,,02-06-2026,06-06-2026,Refund Done,,re-entry
418,RF-1227,Peak Journeys,DEL-BOM,12300,0,21-06-2026,30-06-2026,Refund Done,,settled
419,RF-1822,GoFly Holidays,DEL-DXB,16900,,26-03-2026,30-03-2026,Refund Done,,NEFT done
420,RF-1381,NOMAD TRAVEL,HYD-DEL,,,25-06-2026,,Pending Payout,,awaiting approval
421,RF-1215,Orbit Travels,DEL-BOM,7500,0,30-03-2026,03-04-2026,Refund Done,,settled
422,RF-1615,Sunrise Trips,DEL-CCU,12200,0,10-03-2026,11-03-2026,Refund Done,,NEFT done
423,RF-1741,Peak Journeys,MAA-CMB,7300,0,15-04-2026,17-04-2026,Refund Done,,settled
424,RF-1749,Anand Travels,COK-DXB,24200,2100,16-05-2026,04-06-2026,Refund Done,N. Iyer,settled
425,RF-1382,Wander Agency,DEL-KTM,15100,1500,18-05-2026,23-05-2026,Refund Done,,paid to wallet
426,RF-1355,Peak Journeys,DEL-KTM,7200,1500,16-05-2026,21-05-2026,Refund Done,,settled
427,RF-1457,GoFly Holidays,BLR-MAA,11000,0,06-06-2026,10-06-2026,Refund Done,,transferred
428,RF-1450,Voyage Desk,BLR-MAA,7000,0,25-02-2026,27-02-2026,Refund Done,,settled
429,RF-1697,voyage desk,DEL-DXB,23200,,17-04-2026,19-04-2026,Refund Done,N. Iyer,payout complete
430,RF-1540,Kaveri Tours,BLR-MAA,5700,0,11-02-2026,15-02-2026,Refund Done,,transferred
431,RF-1096,GoFly Holidays,BOM-DXB,24200,0,17-02-2026,21-02-2026,Refund Done,N. Iyer,payout complete
432,RF-1465,Wander Agency,DEL-KTM,9600,1500,08-05-2026,09-05-2026,Refund Done,,NEFT done
433,RF-1097,TripHub,BLR-DXB,22200,,05-04-2026,08/04/26,Refund Done,N. Iyer,settled
434,RF-1611,TripHub,HYD-DEL,11900,0,25-05-2026,31-05-2026,Refund Done,,NEFT done
435,RF-1397,Lotus Travel Co,DEL-KUL,13200,0,10-04-2026,14-04-2026,Refund Done,,paid to wallet
436,RF-1825,Wander Agency,BLR-MAA,8000,,18-02-2026,21-02-2026,Refund Done,,payout complete
437,RF-1760,Sunrise Trips,DEL-KTM,12000,,27-04-2026,29-04-2026,Refund Done,,transferred
438,RF-1163,Metro Yatra,HYD-DEL,5100,0,08-03-2026,09-03-2026,Refund Done,,payout complete
439,RF-1127,Voyage Desk,BOM-DXB,16300,0,12-02-2026,15-02-2026,Refund Done,,paid to wallet
440,RF-1600,Voyage Desk,MAA-CMB,14900,0,16-03-2026,19-03-2026,Refund Done,,settled
441,RF-1459,BlueJet Tours,DEL-DXB,13200,0,30-03-2026,02-04-2026,Refund Done,,transferred
442,RF-1353,GoFly Holidays,AMD-BOM,8700,0,12/02/26,13-02-2026,Refund Done,,settled
443,RF-1141,TripHub,BOM-BKK,0,,23-06-2026,25-06-2026,Declined,,rejected by policy
444,RF-1112,Metro  Yatra,MAA-CMB,10100,0,30-04-2026,04-05-2026,Refund Done,,transferred
445,RF-1136,TripHub,CCU-BOM,11200,0,29-03-2026,30/03/26,Refund Done,,paid to wallet
446,RF-1223,Kaveri Tours,BOM-BKK,23600,0,22-04-2026,24-04-2026,Refund Done,S. Bhatt,settled
447,RF-1031,GoFly Holidays,BLR-MAA,8400,0,13-03-2026,14-03-2026,Refund Done,,payout complete
448,RF-1723,SafarNama Travel,DEL-BOM,8000,,20-04-2026,21-04-2026,Refund Done,,NEFT done
449,RF-1691,BlueJet Tours,CCU-BOM,14500,0,10-04-2026,11-04-2026,Refund Done,,payout complete
450,RF-1501,Peak Journeys,CCU-BOM,11500,,02-05-2026,05-05-2026,Refund Done,,NEFT done
451,RF-1856,Yatri Junction,BLR-DXB,,2300,05-06-2026,,Pending Payout,,hold - amount mismatch
452,RF-1010,BlueJet Tours,DEL-BOM,,0,28-06-2026,,Pending Payout,,awaiting approval
453,RF-1014,Global Wings,BLR-MAA,4100,0,26-03-2026,28/03/26,Refund Done,,payout complete
454,RF-1497,Nomad Travel,HYD-DEL,9400,0,29-04-2026,01-05-2026,Refund Done,,settled
455,RF-1695,Peak Journeys,COK-DXB,15900,0,24-04-2026,28/04/26,Refund Done,,payout complete
456,RF-1784,Metro Yatra,BLR-MAA,8700,0,05-04-2026,08-04-2026,Refund Done,,paid to wallet
457,RF-1731,Wander Agency,DEL-CCU,6200,,09-03-2026,10-03-2026,Refund Done,,NEFT done
458,RF-1841,Peak Journeys,BLR-MAA,9000,0,25-03-2026,27-03-2026,Refund Done,,NEFT done
459,RF-1626,Peak Journeys,BOM-BKK,28100,,21-05-2026,03-06-2026,Refund Done,N. Iyer,NEFT done
460,RF-1561,Nomad Travel,GOI-BOM,9100,0,22-04-2026,26-04-2026,Refund Done,,settled
461,RF-1489,Nomad Travel,DEL-KTM,11000,0,09/03/26,11-03-2026,Refund Done,,settled
462,RF-1579,Skyline Travels,MAA-CMB,10700,0,26-04-2026,30/04/26,Refund Done,,transferred
463,RF-1598,Voyage Desk,DEL-KUL,23300,0,22-05-2026,08/06/26,Refund Done,R. Menon,settled
464,RF-1093,TripHub,DEL-BOM,9300,,13-03-2026,16-03-2026,Refund Done,,paid to wallet
465,RF-1655,Yatri Junction,DEL-KTM,,1500,30-06-2026,,Pending Payout,,pending manager sign-off
466,RF-1426,peak journeys,BOM-BKK,13000,0,26-02-2026,02-03-2026,Refund Done,,transferred
467,RF-1848,Metro Yatra,CCU-BOM,11900,,01-03-2026,05-03-2026,Refund Done,,settled
468,RF-1706,BlueJet Tours,DEL-SIN,36700,,02-03-2026,07-03-2026,Refund Done,N. Iyer,paid to wallet
469,RF-1372,BlueJet Tours,DEL-CCU,10100,,22-02-2026,24-02-2026,Refund Done,,payout complete
470,RF-1063,Voyage Desk,DEL-KUL,,2100,11-06-2026,,Pending Payout,,in queue
471,RF-1319,Skyline Travels,GOI-BOM,6300,0,01-05-2026,04-05-2026,Refund Done,,paid to wallet
472,RF-1328,Wander Agency,HYD-DEL,6000,0,24-04-2026,25-04-2026,Refund Done,,payout complete
473,RF-1401,Metro Yatra,DEL-KUL,,2000,14-06-2026,,Pending Payout,,awaiting approval
474,RF-1350,HIMALAYA HOLIDAYS,HYD-BKK,20100,0,11-03-2026,13-03-2026,Refund Done,S. Bhatt,settled
475,RF-1245,Sunrise Trips,HYD-BKK,15700,0,01-03-2026,02-03-2026,Refund Done,,settled
476,RF-1767,Wander Agency,DEL-KUL,31800,0,29-04-2026,01-05-2026,Refund Done,S. Bhatt,NEFT done
477,RF-1607,GoFly Holidays,DEL-BOM,11700,0,06-03-2026,10-03-2026,Refund Done,,payout complete
478,RF-1482,TripHub,DEL-DXB,,1700,13-06-2026,,Pending Payout,,hold - amount mismatch
479,RF-1048,Lotus Travel Co,DEL-BOM,5000,,01-05-2026,03-05-2026,Refund Done,,settled
480,RF-1280,ZipTrip,DEL-BOM,,0,30-06-2026,,Pending Payout,,awaiting approval
481,RF-1481,GoFly Holidays,MAA-CMB,15800,,23/02/26,24-02-2026,Refund Done,,settled
482,RF-1243,GoFly Holidays,DEL-BOM,9900,0,06-04-2026,08-04-2026,Refund Done,,payout complete
483,RF-1035,Nomad Travel,BLR-DXB,10800,1500,29-05-2026,03-06-2026,Refund Done,,settled
484,RF-1471,Metro Yatra,BLR-MAA,10500,0,21-03-2026,23-03-2026,Refund Done,,transferred
485,RF-1432,Global Wings,PNQ-DEL,10800,0,28-04-2026,30-04-2026,Refund Done,,transferred
486,RF-1218,Voyage Desk,DEL-DXB,26700,,10-02-2026,15-02-2026,Refund Done,S. Bhatt,paid to wallet
487,RF-1509,TripHub,GOI-BOM,4600,0,25-02-2026,28-02-2026,Refund Done,,settled
488,RF-1020,BlueJet Tours,AMD-BOM,7700,,06-04-2026,09-04-2026,Refund Done,,payout complete
489,RF-1804,TripHub,BOM-DXB,30200,,19-04-2026,24-04-2026,Refund Done,S. Bhatt,transferred
490,RF-1851,Voyage Desk,BLR-DXB,30500,0,20-04-2026,22-04-2026,Refund Done,N. Iyer,re-entry
491,RF-1656,Orbit Travels,DEL-CCU,6600,0,29-03-2026,01-04-2026,Refund Done,,settled
492,RF-1584,TripHub,CCU-BOM,6400,,17-04-2026,21-04-2026,Refund Done,,transferred
493,RF-1834,Wander Agency,HYD-BKK,13300,,10-04-2026,12-04-2026,Refund Done,,paid to wallet
494,RF-1107,Peak Journeys,BLR-DXB,,2500,27/06/26,,Pending Payout,,in queue
495,RF-1430,Himalaya Holidays,CCU-BOM,,0,24/06/26,,Pending Payout,,supplier not confirmed
496,RF-1348,Himalaya Holidays,GOI-BOM,5700,0,23-05-2026,27-05-2026,Refund Done,,transferred
497,RF-1718,Nomad Travel,DEL-DXB,24600,0,05-03-2026,09-03-2026,Refund Done,N. Iyer,transferred
498,RF-1120,Kaveri Tours,DEL-SIN,15900,0,09-06-2026,17-06-2026,Refund Done,,paid to wallet
499,RF-1559,Metro Yatra,BOM-DXB,14700,0,03-03-2026,05-03-2026,Refund Done,,transferred
500,RF-1354,Pinnacle Getaways,AMD-BOM,6700,0,11-02-2026,14-02-2026,Refund Done,,paid to wallet
501,RF-1758,Yatri Junction,DEL-CCU,12000,,24-03-2026,27-03-2026,Refund Done,,settled
