Ticket ID,Agent,Route,Refund Amount (INR),Request Date,Last Updated,Status,Handled By,Channel,Notes
RF-1809,Metro Yatra,GOI-BOM,5200,10-06-2026,12-06-2026,Closed,Vikram T.,Email,customer notified
RF-1755,GoFly Holidays,DEL-DXB,10700,15-05-2026,20-05-2026,Closed,Vikram T.,Portal,refund given
RF-1248,Peak Journeys,MAA-CMB,13600,25-04-2026,04-05-2026,Closed,Aditi M.,Portal,amount credited as per process
RF-1496,Skyline Travels,BLR-DXB,25600,06-03-2026,11-03-2026,Closed,Priya S.,Phone,customer notified
RF-1180,Kaveri Tours,PNQ-DEL,11800,24-06-2026,30-06-2026,Working,Aditi M.,Portal,with finance team
RF-1617,Anand Travels,HYD-DEL,9300,06-03-2026,09-03-2026,Closed,Faizan K.,Phone,customer notified
RF-1279,Peak Journeys,BOM-DXB,22400,31-03-2026,05-04-2026,Closed,Rakesh N.,Portal,refund given
RF-1054,Kaveri Tours,DEL-DXB,15900,19-06-2026,26-06-2026,Closed,Rakesh N.,Portal,informed agent
RF-1434,Peak Journeys,DEL-KTM,12000,09-04-2026,11-04-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
RF-1797,GoFly Holidays,BOM-BKK,21100,19-03-2026,26-03-2026,Closed,Sneha R.,Portal,done
RF-1401,Metro Yatra,DEL-KUL,25000,11-06-2026,26-06-2026,Working,Priya S.,Portal,pending confirmation
RF-1237,TripHub,HYD-BKK,19800,06/05/26,17-05-2026,Closed,Sneha R.,Portal,done
RF-1138,GoFly Holidays,BLR-MAA,10500,09-03-2026,21-03-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1116,Yatri Junction,BLR-DXB,24700,07-02-2026,15-02-2026,Closed,Rakesh N.,Portal,customer notified
RF-1133,Himalaya Holidays,DEL-CCU,9300,08-06-2026,13-06-2026,Closed,Faizan K.,Email,"refund processed, informed agent"
RF-1029,Skyline Travels,HYD-BKK,17100,03-03-2026,12-03-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
rf-1276,Skyline Travels,CCU-BOM,11600,18-02-2026,24-02-2026,Closed,Faizan K.,Portal,closed - agent informed
RF-1839,TripHub,DEL-CCU,5800,28-03-2026,01-04-2026,Closed,Priya S.,Email,refund given
RF-1171,Nomad Travel,DEL-KUL,17200,21-04-2026,26-04-2026,Closed,Faizan K.,Portal,refund given
RF-1632,BlueJet Tours,HYD-BKK,27800,19-03-2026,25-03-2026,Closed,Rakesh N.,WhatsApp,closed - agent informed
RF-1849,BlueJet Tours,DEL-KUL,24900,10-02-2026,18-02-2026,Closed,Sneha R.,Portal,done
RF-1305,TripHub,BOM-BKK,28900,18-05-2026,11-06-2026,Closed,Sneha R.,Email,done
RF-1696,Peak Journeys,DEL-SIN,41100,02-06-2026,03-06-2026,Closed,Faizan K.,WhatsApp,"refund processed, informed agent"
RF-1144,SafarNama Travel,DEL-KUL,22900,20-05-2026,20-05-2026,Closed,Vikram T.,Portal,refund given
rf-1314,Nomad Travel,DEL-DXB,18500,29-04-2026,08-05-2026,Working,Priya S.,Portal,closed as per policy
RF-1109,Voyage Desk,BLR-DXB,27700,11-03-2026,16-03-2026,Closed,Sneha R.,Portal,closed - agent informed
RF-1334,GoFly Holidays,DEL-BOM,6500,14/02/26,21/02/26,Closed,Priya S.,Portal,customer notified
RF-1703,Skyline Travels,DEL-BOM,6700,24-02-2026,04-03-2026,Closed,Vikram T.,Email,refund given
RF-1178,Coral Voyages,DEL-KUL,22300,03-03-2026,07-03-2026,Closed,Sneha R.,Portal,refund given
RF-1151,GoFly Holidays,BLR-DXB,27800,27-02-2026,05-03-2026,Closed,Rakesh N.,Portal,done
RF-1847,BlueJet Tours,BOM-DXB,24500,08-04-2026,16-04-2026,Closed,Rakesh N.,Email,customer notified
RF-1519,Pinnacle Getaways,DEL-KUL,29700,28-02-2026,09-03-2026,Closed,Priya S.,Portal,customer notified
RF-1542,TripHub,DEL-CCU,4500,25-06-2026,30-06-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
RF-1643,SafarNama Travel,DEL-DXB,9500,08-04-2026,15-04-2026,Closed,Vikram T.,Phone,"refund processed, informed agent"
RF-1065,BlueJet Tours,COK-DXB,14300,10/05/26,22-05-2026,Closed,Aditi M.,WhatsApp,refund given
RF-1720,Lotus Travel Co,BOM-BKK,15300,16-05-2026,27-05-2026,Closed,Aditi M.,Phone,done
RF-1645,BlueJet Tours,DEL-DXB,26400,25-04-2026,28-04-2026,Closed,Rakesh N.,Phone,refund given
RF-1325,GoFly Holidays,BLR-MAA,,10-02-2026,15-02-2026,Closed,Rakesh N.,Phone,refund given
RF-1035,Nomad Travel,BLR-DXB,12300,27-05-2026,04-06-2026,Closed,Faizan K.,Phone,refund given
RF-1266,TripHub,COK-DXB,16000,06-05-2026,06-05-2026,Closed,Priya S.,Phone,refund given
RF-1267,TripHub,BLR-MAA,6400,27-05-2026,02-06-2026,Closed,Rakesh N.,Portal,amount credited as per process
RF-1432,Global Wings,PNQ-DEL,10800,26-04-2026,01-05-2026,Closed,Sneha R.,Phone,amount credited as per process
RF-1296,Skyline Travels,BLR-DXB,20900,15-03-2026,26-03-2026,Closed,Faizan K.,WhatsApp,amount credited as per process
RF-1840,GoFly Holidays,DEL-DXB,27600,08-03-2026,18-03-2026,Closed,Rakesh N.,Email,"refund processed, informed agent"
RF-1536,DeccanFly,BOM-BKK,29400,19-05-2026,29-05-2026,Not Eligible,Rakesh N.,Portal,past cancellation window
RF-1410,Sunrise Trips,BLR-MAA,8300,19-05-2026,25-05-2026,Closed,Aditi M.,WhatsApp,refund given
RF-1201,Anand Travels,DEL-BOM,4500,09-06-2026,10-06-2026,Closed  ,Rakesh N.,Email,"refund processed, informed agent"
RF-1608,TripHub,DEL-DXB,26700,07-04-2026,18-04-2026,Closed,Rakesh N.,,refund given
RF-1114,Peak Journeys,DEL-KTM,17200,24-05-2026,31-05-2026,Closed,Aditi M.,Portal,amount credited as per process
RF-1589,Nomad Travel,HYD-BKK,14500,14-02-2026,01-03-2026,Not Eligible,Rakesh N.,Email,non-refundable fare
RF-1820,Himalaya Holidays,DEL-DXB,15800,02-02-2026,09-02-2026,Closed,Rakesh N.,WhatsApp,closed - agent informed
RF-1321,Wander Agency,BLR-DXB,30500,03-05-2026,20-05-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
RF-1773,DeccanFly,BLR-DXB,11900,01-05-2026,10-05-2026,Not Eligible,Vikram T.,WhatsApp,past cancellation window
RF-1223,Kaveri Tours,BOM-BKK,23600,18-04-2026,24-04-2026,Closed,Priya S.,Portal,done
RF-1735,TripHub,DEL-CCU,8800,25/04/26,01-05-2026,Closed,Aditi M.,Phone,"refund processed, informed agent"
RF-1663,Metro Yatra,DEL-BOM,12800,27-06-2026,30-06-2026,Working,Aditi M.,Portal,with finance team
RF-1195,Peak Journeys,DEL-KUL,,25-05-2026,03-06-2026,Not Eligible,Rakesh N.,WhatsApp,non-refundable fare
RF-1122,Wander Agency,DEL-KUL,32200,04-06-2026,13-06-2026,Escalated  ,Rakesh N.,,escalated to finance
RF-1443,BlueJet Tours,HYD-DEL,11900,09-02-2026,15-02-2026,Closed,Vikram T.,Email,amount credited as per process
RF-1591 ,Lotus Travel Co,GOI-BOM,6400,29-06-2026,30-06-2026,Working,Aditi M.,Portal,with finance team
RF-1231,Skyline Travels,GOI-BOM,6800,17-05-2026,25-05-2026,Closed,Rakesh N.,Email,refund given
RF-1421,BlueJet Tours,DEL-KUL,23000,03-02-2026,12-02-2026,Closed,Aditi M.,Portal,refund given
RF-1848,Metro Yatra,CCU-BOM,11900,28-02-2026,06-03-2026,Closed,Faizan K.,Phone,amount credited as per process
RF-1241,GoFly Holidays,CCU-BOM,13900,13-02-2026,14-02-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
RF-1005,Voyage Desk,DEL-DXB,28700,13-03-2026,18-03-2026,Closed,Priya S.,Phone,refund given
RF-1091,SafarNama Travel,GOI-BOM,,06-02-2026,08-02-2026,Closed,Rakesh N.,Email,done
RF-1336,TripHub,DEL-KUL,23300,29-05-2026,29-05-2026,Closed,Aditi M.,Phone,"refund processed, informed agent"
RF-1082,Voyage Desk,BOM-BKK,22500,09-06-2026,21-06-2026,Not Eligible,Priya S.,Portal,past cancellation window
RF-1038,Wander Agency,DEL-BOM,12400,18-03-2026,24-03-2026,Closed,Vikram T.,Portal,customer notified
RF-1077,GoFly Holidays,DEL-DXB,26400,13-03-2026,20-03-2026,Closed,Sneha R.,Portal,amount credited as per process
RF-1212,Metro Yatra,HYD-DEL,12400,15-06-2026,24-06-2026,Closed,Faizan K.,Portal,customer notified
RF-1723,SafarNama Travel,DEL-BOM,8000,17-04-2026,23-04-2026,Closed,Priya S.,Portal,customer notified
RF-1566,Skyline Travels,BLR-MAA,9500,22-05-2026,25-05-2026,Closed,Rakesh N.,Phone,"refund processed, informed agent"
RF-1479,SafarNama Travel,DEL-BOM,6500,23-06-2026,25-06-2026,Closed,Faizan K.,WhatsApp,done
RF-1251,Wander Agency,DEL-DXB,11800,19-04-2026,25-04-2026,Closed,Priya S.,WhatsApp,done
RF-1413,Skyline Travels,DEL-SIN,34600,04-06-2026,04-06-2026,Closed,Rakesh N.,Phone,"refund processed, informed agent"
RF-1222,TripHub,DEL-BOM,9400,29-06-2026,30-06-2026,Working,Rakesh N.,Email,pending confirmation
RF-1602,SafarNama Travel,BOM-BKK,12400,08-06-2026,18-06-2026,Closed,Aditi M.,Phone,closed - agent informed
RF-1468,Voyage Desk,DEL-DXB,27700,06-05-2026,17-05-2026,Closed,Rakesh N.,Phone,refund given
rf-1489,Nomad Travel,DEL-KTM,11000,05-03-2026,15/03/26,Closed,Aditi M.,Portal,closed - agent informed
RF-1418, Orbit Travels,DEL-CCU,6300,02/05/26,02-05-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
RF-1483,BlueJet Tours,DEL-DXB,29100,20-03-2026,30-03-2026,Closed,Faizan K.,Email,done
RF-1399,Wander Agency,CCU-BOM,6100,26-02-2026,04-03-2026,Closed,Rakesh N.,Portal,refund given
RF-1615,Sunrise Trips,DEL-CCU,12200,08-03-2026,11/03/26,Closed,Faizan K.,Phone,refund given
RF-1065,BlueJet Tours,COK-DXB,14300,10/05/26,22-05-2026,Closed,Aditi M.,WhatsApp,refund given
RF-1858,Metro Yatra,AMD-BOM,9300,11-04-2026,14-04-2026,Closed,Rakesh N.,Phone,done
RF-1520,Nomad Travel,DEL-DXB,20000,25-02-2026,04-03-2026,Closed,Aditi M.,,closed - agent informed
RF-1369,Yatri Junction,DEL-KTM,8700,24-06-2026,30-06-2026,Escalated,Priya S.,Portal,escalated to finance
RF-1030 ,Voyage Desk,AMD-BOM,5300,24-06-2026,29-06-2026,Working,Aditi M.,Email,awaiting approval
RF-1815,TripHub,DEL-BOM,10300,20-04-2026,26-04-2026,Closed,Priya S.,Email,refund given
RF-1340,Orbit Travels,PNQ-DEL,4300,11-06-2026,22-06-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1200,Peak Journeys,CCU-BOM,12900,29-05-2026,07-06-2026,Closed,Priya S.,Portal,closed - agent informed
RF-1126,METRO YATRA,GOI-BOM,3900,24-02-2026,05-03-2026,Closed,Faizan K.,Portal,refund given
RF-1563,Orbit Travels,BLR-MAA,7500,11-06-2026,22-06-2026,Closed,Vikram T.,Phone,customer notified
RF-1033,Skyline Travels,HYD-DEL,8100,05-04-2026,10-04-2026,Closed,Faizan K.,WhatsApp,"refund processed, informed agent"
RF-1664, Voyage Desk,DEL-BOM,6700,01-05-2026,11-05-2026,Closed,Priya S.,Portal,customer notified
RF-1534,Orbit Travels,DEL-DXB,10400,31/05/26,11-06-2026,Not Eligible,Sneha R.,Portal,outside policy
RF-1628,Skyline Travels,COK-DXB,27000,23-03-2026,29-03-2026,Closed,Priya S.,Portal,closed - agent informed
RF-1515,Metro Yatra,DEL-DXB,17000,24-04-2026,29-04-2026,Closed,Vikram T.,Phone,closed - agent informed
RF-1152,BlueJet Tours,DEL-DXB,25000,01-06-2026,24-06-2026,Closed,Vikram T.,Email,amount credited as per process
RF-1562,Nomad Travel,BOM-BKK,26800,18-03-2026,26-03-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
RF-1494,BlueJet Tours,BLR-DXB,10800,05-03-2026,13-03-2026,Closed,Sneha R.,Email,refund given
RF-1047,Peak Journeys,BOM-BKK,26300,11-02-2026,18-02-2026,Closed,Vikram T.,Portal,closed - agent informed
RF-1540,Kaveri Tours,BLR-MAA,5700,08-02-2026,19-02-2026,Closed,Vikram T.,Phone,amount credited as per process
RF-1583,Anand Travels,DEL-BOM,11700,09-03-2026,15-03-2026,Closed,Priya S.,Portal,customer notified
RF-1803,TripHub,DEL-CCU,11700,02-04-2026,12-04-2026,Closed,Vikram T.,Portal,customer notified
RF-1254,TripHub,GOI-BOM,8200,04-02-2026,08-02-2026,Closed,Faizan K.,Portal,refund given
RF-1533,Metro Yatra,GOI-BOM,,21-05-2026,23-05-2026,Closed,Rakesh N.,Phone,customer notified
RF-1221,Kaveri Tours,DEL-BOM,11600,05-06-2026,14-06-2026,Closed,Faizan K.,Email,closed - agent informed
RF-1107,Peak Journeys,BLR-DXB,31700,25-06-2026,30-06-2026,Escalated,Aditi M.,WhatsApp,under review
RF-1009,Voyage Desk,CCU-BOM,5300,08/03/26,12/03/26,Closed,Aditi M.,Portal,closed - agent informed
RF-1177,Pinnacle Getaways,DEL-KUL,13300,22-03-2026,01-04-2026,Closed,Rakesh N.,Email,amount credited as per process
RF-1017,SafarNama Travel,AMD-BOM,8000,11-03-2026,17/03/26,Closed,Priya S.,Phone,refund given
RF-1165,Orbit Travels,DEL-BOM,10300,15-04-2026,23-04-2026,Closed,Faizan K.,Email,"refund processed, informed agent"
RF-1115,GoFly Holidays,CCU-BOM,12600,08-04-2026,16-04-2026,Closed,Priya S.,Email,refund given
RF-1817,TripHub,PNQ-DEL,9800,28-02-2026,08-03-2026,Working,Priya S.,Phone,closed as per policy
RF-1411,Peak Journeys,CCU-BOM,6200,23-05-2026,26-05-2026,Closed,Rakesh N.,Email,"refund processed, informed agent"
RF-1134,GoFly Holidays,DEL-BOM,8300,16-06-2026,16-06-2026,Closed,Priya S.,WhatsApp,done
RF-1635,Wander Agency,CCU-BOM,14800,02-04-2026,10-04-2026,Closed,Rakesh N.,Email,customer notified
RF-1478,BLUEJET TOURS,DEL-BOM,6000,01-06-2026,11-06-2026,Closed,Faizan K.,Email,done
RF-1081,Metro Yatra,DEL-DXB,29000,22-03-2026,25-03-2026,Closed,Vikram T.,Email,done
RF-1751,GoFly Holidays,HYD-DEL,7000,28-05-2026,04-06-2026,Closed,Vikram T.,Portal,amount credited as per process
RF-1526,BlueJet Tours,DEL-KUL,26600,13-05-2026,05-06-2026,Closed,Aditi M.,Portal,refund given
RF-1016,SafarNama Travel,BLR-DXB,27300,02/06/26,10-06-2026,Not Eligible,Vikram T.,Portal,non-refundable fare
RF-1535,Sunrise Trips,BOM-BKK,22000,09-05-2026,24-05-2026,Closed,Sneha R.,Phone,closed - agent informed
RF-1158,Kaveri Tours,DEL-SIN,39400,02-02-2026,13-02-2026,Closed,Sneha R.,Portal,done
RF-1516,GoFly Holidays,BLR-DXB,27100,29-06-2026,30-06-2026,Closed,Priya S.,Portal,refund given
RF-1559,Metro Yatra,BOM-DXB,14700,27-02-2026,08-03-2026,Closed,Rakesh N.,Portal,closed - agent informed
RF-1225,Voyage Desk,BOM-BKK,19800,03-05-2026,15-05-2026,Closed,Aditi M.,WhatsApp,closed - agent informed
RF-1188,TripHub,MAA-CMB,10400,31-05-2026,05-06-2026,Closed,Faizan K.,,customer notified
RF-1028,BLUEJET TOURS,DEL-DXB,11700,24-05-2026,03-06-2026,Closed,Sneha R.,,customer notified
RF-1383,Orbit Travels,BLR-DXB,19100,03/04/26,11/04/26,Closed,Aditi M.,Portal,refund given
RF-1518,Lotus Travel Co,DEL-BOM,4900,29-03-2026,06-04-2026,Closed,Sneha R.,Email,amount credited as per process
RF-1702,Wander Agency,HYD-BKK,32200,08-05-2026,05-06-2026,Closed,Aditi M.,Portal,done
RF-1121,Global Wings,BLR-MAA,,07-02-2026,16-02-2026,Closed,Vikram T.,Email,closed - agent informed
RF-1400,Wander Agency,DEL-CCU,12300,08-02-2026,17-02-2026,Closed,Rakesh N.,Email,amount credited as per process
RF-1776,Lotus Travel Co,BLR-MAA,4100,19-05-2026,28-05-2026,Closed,Vikram T.,Portal,informed agent
RF-1344,Himalaya Holidays,BLR-DXB,19900,23-04-2026,01/05/26,Not Eligible,Priya S.,Portal,non-refundable fare
RF-1368,TripHub,DEL-BOM,14200,30-03-2026,07-04-2026,Closed,Faizan K.,Email,done
RF-1441,Voyage Desk,HYD-BKK,18600,26-06-2026,30-06-2026,Working  ,Faizan K.,WhatsApp,escalated to finance
RF-1504,Nomad Travel,DEL-SIN,15200,17/06/26,23-06-2026,Working,Faizan K.,Phone,checking with finance
RF-1064,Orbit Travels,DEL-KTM,17700,28-05-2026,29-05-2026,Closed,Vikram T.,Portal,customer notified
RF-1055,Sunrise Trips,HYD-DEL,5800,19-04-2026,26-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF 1531,BlueJet Tours,BLR-MAA,8900,17-03-2026,23-03-2026,Closed,Rakesh N.,Portal,refund given
RF-1758,Yatri Junction,DEL-CCU,12000,22-03-2026,31/03/26,Closed,Rakesh N.,Phone,closed - agent informed
RF-1437,himalaya holidays,DEL-DXB,26400,03-03-2026,14-03-2026,Closed  ,Aditi M.,Portal,customer notified
RF-1717, Lotus Travel Co,AMD-BOM,7500,11-06-2026,25-06-2026,Closed,Faizan K.,Phone,closed - agent informed
RF-1348, Himalaya Holidays,GOI-BOM,5700,22-05-2026,29-05-2026,Closed,Aditi M.,Portal,"refund processed, informed agent"
RF-1345,BlueJet Tours,DEL-CCU,5600,01-02-2026,06-02-2026,Closed,Rakesh N.,Phone,closed - agent informed
RF-1308,BlueJet Tours,HYD-BKK,33000,02-03-2026,14-03-2026,Closed,Aditi M.,Phone,"refund processed, informed agent"
RF-1737,Wander Agency,PNQ-DEL,4900,24-06-2026,30-06-2026,Closed,Rakesh N.,Portal,amount credited as per process
RF-1007,TripHub,DEL-DXB,21400,01-04-2026,08-04-2026,Closed,Aditi M.,Phone,done
RF-1137,BlueJet Tours,MAA-CMB,10900,10-02-2026,19-02-2026,Closed,Rakesh N.,Portal,amount credited as per process
RF-1080,Lotus Travel Co,BLR-DXB,19300,12-05-2026,17-05-2026,Closed,Vikram T.,Phone,refund given
RF-1020,BlueJet Tours,AMD-BOM,7700,02-04-2026,10-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1359,ZipTrip,COK-DXB,15600,08-02-2026,13-02-2026,Working,Vikram T.,Portal,done
RF-1424,Nomad Travel,DEL-DXB,14700,20-03-2026,26-03-2026,Closed,Faizan K.,Portal,amount credited as per process
RF-1739, TripHub,COK-DXB,17200,10-06-2026,16-06-2026,Not Eligible,Aditi M.,Portal,past cancellation window
RF-1179,GoFly Holidays,CCU-BOM,12600,23-04-2026,02-05-2026,Closed,Rakesh N.,Phone,customer notified
RF-1392,Skyline Travels,DEL-KUL,23300,07-05-2026,15-05-2026,Closed,Priya S.,Portal,informed agent
RF-1026,BlueJet Tours,DEL-CCU,6800,11-02-2026,16-02-2026,Closed,Aditi M.,Portal,done
RF-1482,TripHub,DEL-DXB,21000,09-06-2026,29-06-2026,Escalated,Priya S.,WhatsApp,waiting on supplier
RF-1003,Orbit Travels,BLR-DXB,17800,10-02-2026,15-02-2026,Closed,Faizan K.,Phone,customer notified
RF-1713,TripHub,DEL-SIN,39900,17-06-2026,30-06-2026,Escalated,Faizan K.,Portal,with finance team
RF-1234,Skyline Travels,AMD-BOM,4000,03/06/26,06-06-2026,Closed,Priya S.,Phone,done
RF-1328,Wander Agency,HYD-DEL,6000,23-04-2026,29-04-2026,Closed,Sneha R.,Portal,amount credited as per process
RF 1113,Nomad Travel,DEL-SIN,38800,25-06-2026,30-06-2026,Working,Faizan K.,Portal,pending confirmation
RF-1611,TripHub,HYD-DEL,11900,22-05-2026,02-06-2026,Closed,Priya S.,Portal,closed - agent informed
RF-1490,Metro Yatra,HYD-DEL,7700,10-06-2026,13-06-2026,Closed,Aditi M.,Phone,"refund processed, informed agent"
RF-1056,GoFly Holidays,CCU-BOM,11400,30-03-2026,03-04-2026,Closed,Rakesh N.,Phone,done
RF-1288,Sunrise Trips,MAA-CMB,12800,10-04-2026,19/04/26,Closed,Priya S.,Portal,customer notified
RF-1092,Wander Agency,HYD-DEL,7500,25-05-2026,04-06-2026,Closed,Aditi M.,Portal,customer notified
RF-1185,Skyline Travels,DEL-DXB,14400,26-03-2026,04-04-2026,Closed,Aditi M.,Portal,customer notified
RF-1652,Wander Agency,MAA-CMB,17000,18-05-2026,24-05-2026,Closed,Rakesh N.,Portal,closed - agent informed
RF-1253,Wander Agency,AMD-BOM,7300,01-02-2026,06-02-2026,Closed,Vikram T.,Portal,done
RF-1733,BlueJet Tours,DEL-BOM,11900,06-06-2026,08-06-2026,Closed,Vikram T.,Portal,customer notified
RF-1466,Coral Voyages,BLR-DXB,25500,10-05-2026,09-06-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
RF-1066,safarnama travel,HYD-BKK,25700,25-02-2026,05-03-2026,Closed  ,Rakesh N.,,customer notified
RF-1630,TripHub,DEL-BOM,10700,07-03-2026,11-03-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
RF-1728,gofly holidays,PNQ-DEL,6500,21-05-2026,28-05-2026,Closed,Aditi M.,Portal,customer notified
RF-1299,Metro Yatra,BOM-DXB,16100,13-06-2026,21-06-2026,Closed,Priya S.,Portal,amount credited as per process
RF-1809,Metro Yatra,GOI-BOM,5200,10-06-2026,12-06-2026,Closed,Vikram T.,Email,customer notified
RF-1481,GoFly Holidays,MAA-CMB,15800,19-02-2026,26-02-2026,Closed,Sneha R.,Email,closed - agent informed
RF-1736,Pinnacle Getaways,MAA-CMB,9800,30-06-2026,30-06-2026,Working,Priya S.,Email,waiting on supplier
RF-1845,GoFly Holidays,PNQ-DEL,10100,02-04-2026,12-04-2026,Closed,Sneha R.,Portal,amount credited as per process
RF-1855,Himalaya Holidays,DEL-CCU,11400,25-03-2026,03-04-2026,Closed,Faizan K.,Phone,done
RF-1181,Pinnacle Getaways,GOI-BOM,8300,05-06-2026,14-06-2026,Working,Priya S.,Portal,amount credited as per process
RF-1125,Global Wings,MAA-CMB,6800,30-04-2026,09-05-2026,Closed,Aditi M.,Email,done
RF-1374,Voyage Desk,CCU-BOM,8500,28-02-2026,07-03-2026,Closed,Priya S.,Portal,done
RF-1183,Global Wings,DEL-BOM,8700,25-05-2026,27-05-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
RF-1610,TripHub,HYD-DEL,10100,04-02-2026,11-02-2026,Closed,Priya S.,Email,refund given
RF-1404,Voyage Desk,DEL-DXB,18600,09-04-2026,16-04-2026,Closed,Faizan K.,Portal,amount credited as per process
RF-1493,Nomad Travel,DEL-DXB,17300,19-05-2026,26-05-2026,Closed,,Phone,refund given
RF 1433,Skyline Travels,HYD-BKK,21600,19-04-2026,27-04-2026,Closed,Faizan K.,Portal,amount credited as per process
RF-1435,Anand Travels,HYD-DEL,13600,27-02-2026,06-03-2026,Closed,Aditi M.,Portal,closed - agent informed
RF-1731,Wander Agency,DEL-CCU,6200,06/03/26,13-03-2026,Closed,Aditi M.,Email,done
RF-1191,Peak Journeys,HYD-BKK,28200,12-04-2026,23-04-2026,Closed,Faizan K.,Portal,done
RF-1505 ,BlueJet Tours,DEL-CCU,11200,22-05-2026,02-06-2026,Closed,Vikram T.,Phone,"refund processed, informed agent"
RF-1444,GoFly Holidays,DEL-DXB,13600,19-06-2026,21-06-2026,Closed,Rakesh N.,WhatsApp,customer notified
RF-1436,BlueJet Tours,GOI-BOM,4900,11-06-2026,21-06-2026,Closed,Priya S.,Portal,amount credited as per process
RF-1398,Pinnacle Getaways,CCU-BOM,,20-04-2026,26-04-2026,Closed,Faizan K.,Email,done
RF-1832,Nomad Travel,DEL-KTM,17200,17-06-2026,29-06-2026,Closed,Rakesh N.,WhatsApp,done
RF-1749,Anand Travels,COK-DXB,26300,14-05-2026,05-06-2026,Closed,Sneha R.,Email,"refund processed, informed agent"
RF-1042,Metro  Yatra,BLR-DXB,11800,10-02-2026,11-02-2026,Closed,Rakesh N.,Phone,refund given
RF 1403,Peak Journeys,DEL-BOM,11000,19-02-2026,26-02-2026,Closed,Vikram T.,Portal,closed - agent informed
RF-1658,Pinnacle Getaways,DEL-BOM,10300,11-04-2026,18-04-2026,Closed,Aditi M.,Portal,done
RF-1473,Wander Agency,BLR-DXB,13400,12/03/26,16-03-2026,Closed,Priya S.,Email,done
RF-1649,Orbit Travels,DEL-KUL,16500,20-02-2026,28-02-2026,Closed,Vikram T.,,refund given
RF-1721,Kaveri Tours,DEL-SIN,16500,13-05-2026,23-05-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1458,Skyline Travels,DEL-DXB,22400,18-06-2026,20-06-2026,Closed,Sneha R.,WhatsApp,refund given
RF-1119,GoFly Holidays,COK-DXB,24000,07-04-2026,14-04-2026,Closed,Rakesh N.,Email,closed - agent informed
RF-1756,Peak Journeys,DEL-CCU,7500,04-03-2026,14-03-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1375,DeccanFly,PNQ-DEL,8900,08-06-2026,18/06/26,Not Eligible,Faizan K.,Portal,"no-show, not eligible"
RF-1548,Metro Yatra,DEL-BOM,6700,26-06-2026,30-06-2026,Working,Sneha R.,WhatsApp,with finance team
RF-1846,BlueJet Tours,DEL-BOM,13200,15-02-2026,25-02-2026,Closed,Faizan K.,WhatsApp,"refund processed, informed agent"
RF-1250,Kaveri Tours,DEL-CCU,12400,03-04-2026,09-04-2026,Closed,Vikram T.,Email,customer notified
RF-1332,Nomad Travel,BOM-DXB,14100,27-02-2026,06-03-2026,Closed,Rakesh N.,Portal,amount credited as per process
RF-1724,TripHub,DEL-DXB,29600,07-05-2026,24-05-2026,Closed,Vikram T.,Phone,closed - agent informed
RF-1637,Metro Yatra,HYD-BKK,33400,10-02-2026,16-02-2026,Closed,Aditi M.,Portal,customer notified
RF-1673,Nomad Travel,CCU-BOM,,09-06-2026,12-06-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1768,SafarNama Travel,HYD-BKK,29900,16-05-2026,05-06-2026,Closed,Aditi M.,,customer notified
RF-1660,GoFly Holidays,CCU-BOM,13700,20-02-2026,28-02-2026,Closed,Faizan K.,Email,refund given
RF-1577,DeccanFly,DEL-KUL,34700,22-05-2026,23-05-2026,Closed,Rakesh N.,Portal,done
RF-1363,Metro Yatra,DEL-KTM,15000,30-04-2026,09-05-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
RF 1257,Skyline Travels,DEL-DXB,27100,15-02-2026,26-02-2026,Closed,,WhatsApp,amount credited as per process
rf-1101,GoFly Holidays,MAA-CMB,9700,02-04-2026,10-04-2026,Closed,Vikram T.,Portal,customer notified
RF-1032,Metro Yatra,DEL-CCU,9100,08-06-2026,15-06-2026,Closed,Faizan K.,Portal,refund given
RF-1452,Pinnacle Getaways,DEL-BOM,13700,18-05-2026,27/05/26,Closed,Faizan K.,Portal,"refund processed, informed agent"
RF-1459,BlueJet Tours,DEL-DXB,13200,26-03-2026,03-04-2026,Closed,,WhatsApp,done
RF-1385,Coral Voyages,CCU-BOM,9600,07-06-2026,09/06/26,Closed,Faizan K.,WhatsApp,refund given
